,Unnamed: 0.1,Unnamed: 0,is_sarcastic,text,source,text_mod,tokenized,tokenized_cleaned,lemmatized,tokens,num_words
4737,4737,8532,1,Тихановська це хто?,Telegram,тихановська це хто?,"['тихановська', 'це', 'хто', '?']",тихановська це хто ?,"['тихановський', 'це', 'хто', '?']","['тихановська', 'це', 'хто']",3
1637,1637,1637,1,"Вона мені смайлик, я їй смайлик.
Все чудово.",Twitter,"вона мені смайлик, я їй смайлик.
все чудово.","['вона', 'мені', 'смайлик', ',', 'я', 'їй', 'смайлик', '.', 'все', 'чудово', '.']",вона мені смайлик я їй смайлик все чудово ,"['вона', 'я', 'смайлик', 'я', 'вона', 'смайлик', 'все', 'чудово']","['вона', 'мені', 'смайлик', 'я', 'їй', 'смайлик', 'все', 'чудово']",8
3578,3578,3578,1,"Волонтери - це зріз суспільства. У суспільстві є пацюки, тому і серед волонтерів є пацюки.",Twitter,"волонтери - це зріз суспільства. у суспільстві є пацюки, тому і серед волонтерів є пацюки.","['волонтери', '-', 'це', 'зріз', 'суспільства', '.', 'у', 'суспільстві', 'є', 'пацюки', ',', 'тому', 'і', 'серед', 'волонтерів', 'є', 'пацюки', '.']",волонтери це зріз суспільства у суспільстві є пацюки тому і серед волонтерів є пацюки ,"['волонтер', 'це', 'зріз', 'суспільство', 'у', 'суспільство', 'бути', 'пацюк', 'тому', 'і', 'серед', 'волонтер', 'бути', 'пацюк']","['волонтери', 'це', 'зріз', 'суспільства', 'у', 'суспільстві', 'є', 'пацюки', 'тому', 'і', 'серед', 'волонтерів', 'є', 'пацюки']",14
4837,4837,8632,1,"Форма на виріст. Якщо одягнув то всьо. Пєрвоє вересня - казарма - фронт. За хйула і пабєду. 
.",Telegram,"форма на виріст. якщо одягнув то всьо. пєрвоє вересня - казарма - фронт. за хйула і пабєду. 
.","['форма', 'на', 'виріст', '.', 'якщо', 'одягнув', 'то', 'всьо', '.', 'пєрвоє', 'вересня', '-', 'казарма', '-', 'фронт', '.', 'за', 'хйула', 'і', 'пабєду', '. \n.']",форма на виріст якщо одягнув то всьо пєрвоє вересня казарма фронт за хйула і пабєду ,"['форма', 'на', 'виріст', 'якщо', 'одягнути', 'то', 'всьо', 'пєрвоє', 'вересень', 'казарма', 'фронт', 'за', 'хйула', 'і', 'пабід']","['форма', 'на', 'виріст', 'якщо', 'одягнув', 'то', 'всьо', 'пєрвоє', 'вересня', 'казарма', 'фронт', 'за', 'хйула', 'і', 'пабєду']",15
2402,2402,2402,1,@DigitalBorsh @GoncharenkoUa @freeukrman Тому що вовка найвеличніший лідер сучасності,Twitter,   тому що вовка найвеличніший лідер сучасності,"['тому', 'що', 'вовка', 'найвеличніший', 'лідер', 'сучасності']",тому що вовка найвеличніший лідер сучасності,"['тому', 'що', 'вовка', 'найвеличніший', 'лідер', 'сучасність']","['тому', 'що', 'вовка', 'найвеличніший', 'лідер', 'сучасності']",6
3898,3898,7693,1,"Краще стебло показуй
Якась бджілка оцінить
Та я з цнотою порішаєш",Telegram,"краще стебло показуй
якась бджілка оцінить
та я з цнотою порішаєш","['краще', 'стебло', 'показуй', 'якась', 'бджілка', 'оцінить', 'та', 'я', 'з', 'цнотою', 'порішаєш']",краще стебло показуй якась бджілка оцінить та я з цнотою порішаєш,"['кращий', 'стебло', 'показувати', 'якийсь', 'бджілка', 'оцінити', 'та', 'я', 'з', 'цнота', 'порішати']","['краще', 'стебло', 'показуй', 'якась', 'бджілка', 'оцінить', 'та', 'я', 'з', 'цнотою', 'порішаєш']",11
4287,4287,8082,1,А чоловік звідки??,Telegram,а чоловік звідки??,"['а', 'чоловік', 'звідки', '?', '?']",а чоловік звідки ? ?,"['а', 'чоловік', 'звідки', '?', '?']","['а', 'чоловік', 'звідки']",3
4576,4576,8371,1,Відповісти в приватних?,Telegram,відповісти в приватних?,"['відповісти', 'в', 'приватних', '?']",відповісти в приватних ?,"['відповісти', 'в', 'приватний', '?']","['відповісти', 'в', 'приватних']",3
1576,1576,1576,1,"@less_les_doutes Ну от бачиш, в тебе є якесь підсвідоме бажання бути жертвою, тиж про це з психологинею розмовляла, інакше нашо б ти про це з нею розмовляла, люди які обмусолюють свої страхи з психологами - жертви ",Twitter," ну от бачиш, в тебе є якесь підсвідоме бажання бути жертвою, тиж про це з психологинею розмовляла, інакше нашо б ти про це з нею розмовляла, люди які обмусолюють свої страхи з психологами - жертви ","['ну', 'от', 'бачиш', ',', 'в', 'тебе', 'є', 'якесь', 'підсвідоме', 'бажання', 'бути', 'жертвою', ',', 'тиж', 'про', 'це', 'з', 'психологинею', 'розмовляла', ',', 'інакше', 'нашо', 'б', 'ти', 'про', 'це', 'з', 'нею', 'розмовляла', ',', 'люди', 'які', 'обмусолюють', 'свої', 'страхи', 'з', 'психологами', '-', 'жертви']",ну от бачиш в тебе є якесь підсвідоме бажання бути жертвою тиж про це з психологинею розмовляла інакше нашо б ти про це з нею розмовляла люди які обмусолюють свої страхи з психологами жертви,"['ну', 'от', 'бачити', 'в', 'ти', 'бути', 'якийсь', 'підсвідомий', 'бажання', 'бути', 'жертва', 'тиж', 'про', 'це', 'з', 'психологиня', 'розмовляти', 'інакше', 'нашо', 'б', 'ти', 'про', 'це', 'з', 'вона', 'розмовляти', 'людина', 'який', 'обмусолювати', 'свій', 'страх', 'з', 'психолог', 'жертва']","['ну', 'от', 'бачиш', 'в', 'тебе', 'є', 'якесь', 'підсвідоме', 'бажання', 'бути', 'жертвою', 'тиж', 'про', 'це', 'з', 'психологинею', 'розмовляла', 'інакше', 'нашо', 'б', 'ти', 'про', 'це', 'з', 'нею', 'розмовляла', 'люди', 'які', 'обмусолюють', 'свої', 'страхи', 'з', 'психологами', 'жертви']",34
5278,5278,9077,1,"Ну звичайно, пісня ""я узький"" це ж набагато краще ",Telegram,"ну звичайно, пісня ""я узький"" це ж набагато краще ","['ну', 'звичайно', ',', 'пісня', '""', 'я', 'узький', '""', 'це', 'ж', 'набагато', 'краще']","ну звичайно пісня "" я узький "" це ж набагато краще","['ну', 'звичайно', 'пісня', '""', 'я', 'узький', '""', 'це', 'ж', 'набагато', 'краще']","['ну', 'звичайно', 'пісня', 'я', 'узький', 'це', 'ж', 'набагато', 'краще']",9
5006,5006,8802,1,А ти що незнав? Тобі ж по 100 тищ платили.,Telegram,а ти що незнав? тобі ж по 100 тищ платили.,"['а', 'ти', 'що', 'незнав', '?', 'тобі', 'ж', 'по', '100', 'тищ', 'платили', '.']",а ти що незнав ? тобі ж по тищ платили ,"['а', 'ти', 'що', 'незнати', '?', 'ти', 'ж', 'по', 'тищ', 'платити']","['а', 'ти', 'що', 'незнав', 'тобі', 'ж', 'по', 'тищ', 'платили']",9
722,722,722,1,"дуже шкода, що даний ескперт не зустрічається з Трампом замість Петра ",Twitter,"дуже шкода, що даний ескперт не зустрічається з трампом замість петра ","['дуже', 'шкода', ',', 'що', 'даний', 'ескперт', 'не', 'зустрічається', 'з', 'трампом', 'замість', 'петра']",дуже шкода що даний ескперт не зустрічається з трампом замість петра,"['дуже', 'шкода', 'що', 'даний', 'ескперт', 'не', 'зустрічатися', 'з', 'трамп', 'замість', 'петро']","['дуже', 'шкода', 'що', 'даний', 'ескперт', 'не', 'зустрічається', 'з', 'трампом', 'замість', 'петра']",11
3198,3198,3198,1,"@kdtchk Таліби нещодавно відвідали Москву, зустрілися із сумною... Лавровровим та як пристойні люди дали прес-конференцію.",Twitter," таліби нещодавно відвідали москву, зустрілися із сумною... лавровровим та як пристойні люди дали прес-конференцію.","['таліби', 'нещодавно', 'відвідали', 'москву', ',', 'зустрілися', 'із', 'сумною', '...', 'лавровровим', 'та', 'як', 'пристойні', 'люди', 'дали', 'прес-конференцію', '.']",таліби нещодавно відвідали москву зустрілися із сумною лавровровим та як пристойні люди дали пресконференцію ,"['таліб', 'нещодавно', 'відвідати', 'Москва', 'зустрітися', 'із', 'сумний', 'лавровров', 'та', 'як', 'пристойний', 'людина', 'дати', 'пресконференція']","['таліби', 'нещодавно', 'відвідали', 'москву', 'зустрілися', 'із', 'сумною', 'лавровровим', 'та', 'як', 'пристойні', 'люди', 'дали', 'прес', 'конференцію']",15
3596,3596,3596,1,Добре що сам голова ОВА ні чому не винний.,Twitter,добре що сам голова ова ні чому не винний.,"['добре', 'що', 'сам', 'голова', 'ова', 'ні', 'чому', 'не', 'винний', '.']",добре що сам голова ова ні чому не винний ,"['добре', 'що', 'сам', 'голова', 'ова', 'ні', 'чому', 'не', 'винний']","['добре', 'що', 'сам', 'голова', 'ова', 'ні', 'чому', 'не', 'винний']",9
4618,4618,8413,1,Брєд якийсь кажете))),Telegram,брєд якийсь кажете))),"['брєд', 'якийсь', 'кажете', ')', ')', ')']",брєд якийсь кажете ) ) ),"['брєд', 'якийсь', 'казати', ')', ')', ')']","['брєд', 'якийсь', 'кажете']",3
4647,4647,8442,1,"Читають і планують і страх шо їх будуть тут хуєсосити реально впливає на рішення, але в принципі це не страшно, бо замість Оксанок до нас завжди будуть раді приїхати Махмуди",Telegram,"читають і планують і страх шо їх будуть тут хуєсосити реально впливає на рішення, але в принципі це не страшно, бо замість оксанок до нас завжди будуть раді приїхати махмуди","['читають', 'і', 'планують', 'і', 'страх', 'шо', 'їх', 'будуть', 'тут', 'хуєсосити', 'реально', 'впливає', 'на', 'рішення', ',', 'але', 'в', 'принципі', 'це', 'не', 'страшно', ',', 'бо', 'замість', 'оксанок', 'до', 'нас', 'завжди', 'будуть', 'раді', 'приїхати', 'махмуди']",читають і планують і страх шо їх будуть тут хуєсосити реально впливає на рішення але в принципі це не страшно бо замість оксанок до нас завжди будуть раді приїхати махмуди,"['читати', 'і', 'планувати', 'і', 'страх', 'шо', 'вони', 'бути', 'тут', 'хуєсосити', 'реально', 'впливати', 'на', 'рішення', 'але', 'в', 'принцип', 'це', 'не', 'страшно', 'бо', 'замість', 'оксанок', 'до', 'ми', 'завжди', 'бути', 'радий', 'приїхати', 'махмуд']","['читають', 'і', 'планують', 'і', 'страх', 'шо', 'їх', 'будуть', 'тут', 'хуєсосити', 'реально', 'впливає', 'на', 'рішення', 'але', 'в', 'принципі', 'це', 'не', 'страшно', 'бо', 'замість', 'оксанок', 'до', 'нас', 'завжди', 'будуть', 'раді', 'приїхати', 'махмуди']",30
2226,2226,2226,1,"Підказка для Зеленського - якщо дозволити терористам інспектувати не лише українські позиції на сході, а й військові об'єкти по всій території України, то можна не витрачатися на утримання ЗСУ і натомість спрямувати гроші на ""велике будівництво"". Вигідний гешефт.",Twitter,"підказка для зеленського - якщо дозволити терористам інспектувати не лише українські позиції на сході, а й військові об'єкти по всій території україни, то можна не витрачатися на утримання зсу і натомість спрямувати гроші на ""велике будівництво"". вигідний гешефт.","['підказка', 'для', 'зеленського', '-', 'якщо', 'дозволити', 'терористам', 'інспектувати', 'не', 'лише', 'українські', 'позиції', 'на', 'сході', ',', 'а', 'й', 'військові', ""об'єкти"", 'по', 'всій', 'території', 'україни', ',', 'то', 'можна', 'не', 'витрачатися', 'на', 'утримання', 'зсу', 'і', 'натомість', 'спрямувати', 'гроші', 'на', '""', 'велике', 'будівництво', '""', '.', 'вигідний', 'гешефт', '.']","підказка для зеленського якщо дозволити терористам інспектувати не лише українські позиції на сході а й військові об'єкти по всій території україни то можна не витрачатися на утримання зсу і натомість спрямувати гроші на "" велике будівництво "" вигідний гешефт ","['підказка', 'для', 'зеленський', 'якщо', 'дозволити', 'терорист', 'інспектувати', 'не', 'лише', 'український', 'позиція', 'на', 'схід', 'а', 'й', 'військовий', 'об’єкт', 'по', 'весь', 'територія', 'Україна', 'то', 'можна', 'не', 'витрачатися', 'на', 'утримання', 'зса', 'і', 'натомість', 'спрямувати', 'гроші', 'на', '""', 'великий', 'будівництво', '""', 'вигідний', 'гешефт']","['підказка', 'для', 'зеленського', 'якщо', 'дозволити', 'терористам', 'інспектувати', 'не', 'лише', 'українські', 'позиції', 'на', 'сході', 'а', 'й', 'військові', ""об'єкти"", 'по', 'всій', 'території', 'україни', 'то', 'можна', 'не', 'витрачатися', 'на', 'утримання', 'зсу', 'і', 'натомість', 'спрямувати', 'гроші', 'на', 'велике', 'будівництво', 'вигідний', 'гешефт']",37
3021,3021,3021,1,"@kniga555 Ну так , звичайно  ,мотоцикл  - це ж зимовий вид транспорту  ",Twitter," ну так , звичайно  ,мотоцикл  - це ж зимовий вид транспорту  ","['ну', 'так', ',', 'звичайно', ',', 'мотоцикл', '-', 'це', 'ж', 'зимовий', 'вид', 'транспорту']",ну так звичайно мотоцикл це ж зимовий вид транспорту,"['ну', 'так', 'звичайно', 'мотоцикл', 'це', 'ж', 'зимовий', 'вид', 'транспорт']","['ну', 'так', 'звичайно', 'мотоцикл', 'це', 'ж', 'зимовий', 'вид', 'транспорту']",9
4610,4610,8405,1,Що мовчиш? Скуштував хуя? (с),Telegram,що мовчиш? скуштував хуя? (с),"['що', 'мовчиш', '?', 'скуштував', 'хуя', '?', '(', 'с', ')']",що мовчиш ? скуштував хуя ? ( с ),"['що', 'мовчити', '?', 'скуштувати', 'хуя', '?', '(', 'С', ')']","['що', 'мовчиш', 'скуштував', 'хуя', 'с']",5
1130,1130,1130,1,@xoxotvch трансфобії не існує🙄🙄🙄🙄,Twitter, трансфобії не існує🙄🙄🙄🙄,"['трансфобії', 'не', 'існує', '🙄', '🙄', '🙄']",трансфобії не існує 🙄 🙄 🙄,"['трансфобія', 'не', 'існувати', '🙄', '🙄', '🙄']","['трансфобії', 'не', 'існує']",3
4595,4595,8390,1,не на часі,Telegram,не на часі,"['не', 'на', 'часі']",не на часі,"['не', 'на', 'час']","['не', 'на', 'часі']",3
431,431,431,1,Обожнюю тривогу в школі🥰,Twitter,обожнюю тривогу в школі🥰,"['обожнюю', 'тривогу', 'в', 'школі', '🥰']",обожнюю тривогу в школі 🥰,"['обожнювати', 'тривіг', 'в', 'школа', '🥰']","['обожнюю', 'тривогу', 'в', 'школі']",4
2859,2859,2859,1,"Про західні корпорації і електроніку. У нас дохрена своїх спеціалістів, можна у нас виготовляти смартфони і ноутбуки й користуватися вітчизняним. Чи просто людям хочеться за користуватися закордонним?

",Twitter,"про західні корпорації і електроніку. у нас дохрена своїх спеціалістів, можна у нас виготовляти смартфони і ноутбуки й користуватися вітчизняним. чи просто людям хочеться за користуватися закордонним?

","['про', 'західні', 'корпорації', 'і', 'електроніку', '.', 'у', 'нас', 'дохрена', 'своїх', 'спеціалістів', ',', 'можна', 'у', 'нас', 'виготовляти', 'смартфони', 'і', 'ноутбуки', 'й', 'користуватися', 'вітчизняним', '.', 'чи', 'просто', 'людям', 'хочеться', 'за', 'користуватися', 'закордонним', '?']",про західні корпорації і електроніку у нас дохрена своїх спеціалістів можна у нас виготовляти смартфони і ноутбуки й користуватися вітчизняним чи просто людям хочеться за користуватися закордонним ?,"['про', 'західний', 'корпорація', 'і', 'електроніка', 'у', 'ми', 'дохрена', 'свій', 'спеціаліст', 'можна', 'у', 'ми', 'виготовляти', 'смартфон', 'і', 'ноутбук', 'й', 'користуватися', 'вітчизняний', 'чи', 'просто', 'людина', 'хотітися', 'за', 'користуватися', 'закордонний', '?']","['про', 'західні', 'корпорації', 'і', 'електроніку', 'у', 'нас', 'дохрена', 'своїх', 'спеціалістів', 'можна', 'у', 'нас', 'виготовляти', 'смартфони', 'і', 'ноутбуки', 'й', 'користуватися', 'вітчизняним', 'чи', 'просто', 'людям', 'хочеться', 'за', 'користуватися', 'закордонним']",27
5233,5233,9032,1,"Інфофакт...... канал якому можна довіряти...


",Telegram,"інфофакт...... канал якому можна довіряти...


","['інфофакт', '...', 'канал', 'якому', 'можна', 'довіряти', '...']",інфофакт канал якому можна довіряти ,"['інфофакт', 'канал', 'який', 'можна', 'довіряти']","['інфофакт', 'канал', 'якому', 'можна', 'довіряти']",5
4796,4796,8591,1,"Пофіг, якщо з правоохоронних органів - винен ",Telegram,"пофіг, якщо з правоохоронних органів - винен ","['пофіг', ',', 'якщо', 'з', 'правоохоронних', 'органів', '-', 'винен']",пофіг якщо з правоохоронних органів винен,"['пофіг', 'якщо', 'з', 'правоохоронний', 'орган', 'винний']","['пофіг', 'якщо', 'з', 'правоохоронних', 'органів', 'винен']",6
2221,2221,2221,1,"Дехто скаржиться що зараз бутерброди з ковбасою не такі смачні як колись... Дурні. Вам полегшили задачу. Не їжте бутерброди, як раніше, з батоном. Їжте просто ковбасу😉",Twitter,"дехто скаржиться що зараз бутерброди з ковбасою не такі смачні як колись... дурні. вам полегшили задачу. не їжте бутерброди, як раніше, з батоном. їжте просто ковбасу😉","['дехто', 'скаржиться', 'що', 'зараз', 'бутерброди', 'з', 'ковбасою', 'не', 'такі', 'смачні', 'як', 'колись', '...', 'дурні', '.', 'вам', 'полегшили', 'задачу', '.', 'не', 'їжте', 'бутерброди', ',', 'як', 'раніше', ',', 'з', 'батоном', '.', 'їжте', 'просто', 'ковбасу', '😉']",дехто скаржиться що зараз бутерброди з ковбасою не такі смачні як колись дурні вам полегшили задачу не їжте бутерброди як раніше з батоном їжте просто ковбасу 😉,"['дехто', 'скаржитися', 'що', 'зараз', 'бутерброда', 'з', 'ковбаса', 'не', 'такий', 'смачний', 'як', 'колись', 'дурень', 'ви', 'полегшити', 'задача', 'не', 'їхати', 'бутерброда', 'як', 'раніше', 'з', 'батон', 'їхати', 'просто', 'ковбаса', '😉']","['дехто', 'скаржиться', 'що', 'зараз', 'бутерброди', 'з', 'ковбасою', 'не', 'такі', 'смачні', 'як', 'колись', 'дурні', 'вам', 'полегшили', 'задачу', 'не', 'їжте', 'бутерброди', 'як', 'раніше', 'з', 'батоном', 'їжте', 'просто', 'ковбасу']",26
4654,4654,8449,1,"Особисто розгружав цих комфортних люкс емігрантів, як русофіли тут кажуть, з евакуаційних потягів о третій ночі

Так, взагалі ніхуя не біженці, з краматорська там чи ще куди

Дохуя було київських модників, але не треба оцією уравніловкою",Telegram,"особисто розгружав цих комфортних люкс емігрантів, як русофіли тут кажуть, з евакуаційних потягів о третій ночі

так, взагалі ніхуя не біженці, з краматорська там чи ще куди

дохуя було київських модників, але не треба оцією уравніловкою","['особисто', 'розгружав', 'цих', 'комфортних', 'люкс', 'емігрантів', ',', 'як', 'русофіли', 'тут', 'кажуть', ',', 'з', 'евакуаційних', 'потягів', 'о', 'третій', 'ночі', 'так', ',', 'взагалі', 'ніхуя', 'не', 'біженці', ',', 'з', 'краматорська', 'там', 'чи', 'ще', 'куди', 'дохуя', 'було', 'київських', 'модників', ',', 'але', 'не', 'треба', 'оцією', 'уравніловкою']",особисто розгружав цих комфортних люкс емігрантів як русофіли тут кажуть з евакуаційних потягів о третій ночі так взагалі ніхуя не біженці з краматорська там чи ще куди дохуя було київських модників але не треба оцією уравніловкою,"['особисто', 'розгружати', 'цей', 'комфортний', 'люкс', 'емігрант', 'як', 'русофіл', 'тут', 'казати', 'з', 'евакуаційний', 'потяг', 'о', 'третій', 'ніч', 'так', 'взагалі', 'ніхуя', 'не', 'біженка', 'з', 'краматорський', 'там', 'чи', 'ще', 'куди', 'дохуя', 'бути', 'київський', 'модник', 'але', 'не', 'треба', 'оцей', 'уравніловка']","['особисто', 'розгружав', 'цих', 'комфортних', 'люкс', 'емігрантів', 'як', 'русофіли', 'тут', 'кажуть', 'з', 'евакуаційних', 'потягів', 'о', 'третій', 'ночі', 'так', 'взагалі', 'ніхуя', 'не', 'біженці', 'з', 'краматорська', 'там', 'чи', 'ще', 'куди', 'дохуя', 'було', 'київських', 'модників', 'але', 'не', 'треба', 'оцією', 'уравніловкою']",36
