,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,llm,prompting,text_mod,tokens,num_words,is_sarcastic,lemmatized_words,entities,bigrams,trigrams
10,10,10,2282,"Як чудово, що існує спам. Завдяки йому моя поштова скринька завжди переповнена важливими листами.",gemini,zeroshot,"як чудово, що існує спам. завдяки йому моя поштова скринька завжди переповнена важливими листами.","['як', 'чудово', 'що', 'існує', 'спам', 'завдяки', 'йому', 'моя', 'поштова', 'скринька', 'завжди', 'переповнена', 'важливими', 'листами']",14,1,"['як', 'чудово', 'що', 'існувати', 'спам', 'завдяки', 'він', 'мій', 'поштовий', 'скринька', 'завжди', 'переповнений', 'важливий', 'лист']",[],"[('як', 'чудово'), ('чудово', 'що'), ('що', 'існувати'), ('існувати', 'спам'), ('спам', 'завдяки'), ('завдяки', 'він'), ('він', 'мій'), ('мій', 'поштовий'), ('поштовий', 'скринька'), ('скринька', 'завжди'), ('завжди', 'переповнений'), ('переповнений', 'важливий'), ('важливий', 'лист')]","[('як', 'чудово', 'що'), ('чудово', 'що', 'існувати'), ('що', 'існувати', 'спам'), ('існувати', 'спам', 'завдяки'), ('спам', 'завдяки', 'він'), ('завдяки', 'він', 'мій'), ('він', 'мій', 'поштовий'), ('мій', 'поштовий', 'скринька'), ('поштовий', 'скринька', 'завжди'), ('скринька', 'завжди', 'переповнений'), ('завжди', 'переповнений', 'важливий'), ('переповнений', 'важливий', 'лист')]"
11,11,11,2650,"Так, я завжди уважно слухаю, що мені говорять. Особливо, коли це реклама по радіо.",gemini,zeroshot,"так, я завжди уважно слухаю, що мені говорять. особливо, коли це реклама по радіо.","['так', 'я', 'завжди', 'уважно', 'слухаю', 'що', 'мені', 'говорять', 'особливо', 'коли', 'це', 'реклама', 'по', 'радіо']",14,1,"['так', 'я', 'завжди', 'уважно', 'слухати', 'що', 'я', 'говорити', 'особливо', 'коли', 'це', 'реклама', 'по', 'радіо']",[],"[('так', 'я'), ('я', 'завжди'), ('завжди', 'уважно'), ('уважно', 'слухати'), ('слухати', 'що'), ('що', 'я'), ('я', 'говорити'), ('говорити', 'особливо'), ('особливо', 'коли'), ('коли', 'це'), ('це', 'реклама'), ('реклама', 'по'), ('по', 'радіо')]","[('так', 'я', 'завжди'), ('я', 'завжди', 'уважно'), ('завжди', 'уважно', 'слухати'), ('уважно', 'слухати', 'що'), ('слухати', 'що', 'я'), ('що', 'я', 'говорити'), ('я', 'говорити', 'особливо'), ('говорити', 'особливо', 'коли'), ('особливо', 'коли', 'це'), ('коли', 'це', 'реклама'), ('це', 'реклама', 'по'), ('реклама', 'по', 'радіо')]"
12,12,12,2089,"Так, я теж вважаю, що найкращий спосіб розв'язати конфлікт – це кричати один на одного.",gemini,zeroshot,"так, я теж вважаю, що найкращий спосіб розв'язати конфлікт – це кричати один на одного.","['так', 'я', 'теж', 'вважаю', 'що', 'найкращий', 'спосіб', ""розв'язати"", 'конфлікт', 'це', 'кричати', 'один', 'на', 'одного']",14,1,"['так', 'я', 'теж', 'вважати', 'що', 'найкращий', 'спосіб', 'розв’язати', 'конфлікт', 'це', 'кричати', 'один', 'на', 'один']",[],"[('так', 'я'), ('я', 'теж'), ('теж', 'вважати'), ('вважати', 'що'), ('що', 'найкращий'), ('найкращий', 'спосіб'), ('спосіб', 'розв’язати'), ('розв’язати', 'конфлікт'), ('конфлікт', 'це'), ('це', 'кричати'), ('кричати', 'один'), ('один', 'на'), ('на', 'один')]","[('так', 'я', 'теж'), ('я', 'теж', 'вважати'), ('теж', 'вважати', 'що'), ('вважати', 'що', 'найкращий'), ('що', 'найкращий', 'спосіб'), ('найкращий', 'спосіб', 'розв’язати'), ('спосіб', 'розв’язати', 'конфлікт'), ('розв’язати', 'конфлікт', 'це'), ('конфлікт', 'це', 'кричати'), ('це', 'кричати', 'один'), ('кричати', 'один', 'на'), ('один', 'на', 'один')]"
13,13,13,2296,Обожнюю запізнюватися. Це допомагає тримати всіх в тонусі.,gemini,zeroshot,обожнюю запізнюватися. це допомагає тримати всіх в тонусі.,"['обожнюю', 'запізнюватися', 'це', 'допомагає', 'тримати', 'всіх', 'в', 'тонусі']",8,1,"['обожнювати', 'запізнюватися', 'це', 'допомагати', 'тримати', 'весь', 'в', 'тонус']",[],"[('обожнювати', 'запізнюватися'), ('запізнюватися', 'це'), ('це', 'допомагати'), ('допомагати', 'тримати'), ('тримати', 'весь'), ('весь', 'в'), ('в', 'тонус')]","[('обожнювати', 'запізнюватися', 'це'), ('запізнюватися', 'це', 'допомагати'), ('це', 'допомагати', 'тримати'), ('допомагати', 'тримати', 'весь'), ('тримати', 'весь', 'в'), ('весь', 'в', 'тонус')]"
14,14,14,2214,"З нетерпінням чекаю на чергову сесію в університеті. Впевнений, що вона буде легкою та приємною.",gemini,zeroshot,"з нетерпінням чекаю на чергову сесію в університеті. впевнений, що вона буде легкою та приємною.","['з', 'нетерпінням', 'чекаю', 'на', 'чергову', 'сесію', 'в', 'університеті', 'впевнений', 'що', 'вона', 'буде', 'легкою', 'та', 'приємною']",15,1,"['з', 'нетерпіння', 'чекати', 'на', 'черговий', 'сесія', 'в', 'університет', 'впевнений', 'що', 'вона', 'бути', 'легкий', 'та', 'приємний']",[],"[('з', 'нетерпіння'), ('нетерпіння', 'чекати'), ('чекати', 'на'), ('на', 'черговий'), ('черговий', 'сесія'), ('сесія', 'в'), ('в', 'університет'), ('університет', 'впевнений'), ('впевнений', 'що'), ('що', 'вона'), ('вона', 'бути'), ('бути', 'легкий'), ('легкий', 'та'), ('та', 'приємний')]","[('з', 'нетерпіння', 'чекати'), ('нетерпіння', 'чекати', 'на'), ('чекати', 'на', 'черговий'), ('на', 'черговий', 'сесія'), ('черговий', 'сесія', 'в'), ('сесія', 'в', 'університет'), ('в', 'університет', 'впевнений'), ('університет', 'впевнений', 'що'), ('впевнений', 'що', 'вона'), ('що', 'вона', 'бути'), ('вона', 'бути', 'легкий'), ('бути', 'легкий', 'та'), ('легкий', 'та', 'приємний')]"
15,15,15,2821,"Обожнюю ходити по магазинах. Особливо, коли там знижки 99%.",gemini,zeroshot,"обожнюю ходити по магазинах. особливо, коли там знижки 99%.","['обожнюю', 'ходити', 'по', 'магазинах', 'особливо', 'коли', 'там', 'знижки']",8,1,"['обожнювати', 'ходити', 'по', 'магазин', 'особливо', 'коли', 'там', 'знижка']",[],"[('обожнювати', 'ходити'), ('ходити', 'по'), ('по', 'магазин'), ('магазин', 'особливо'), ('особливо', 'коли'), ('коли', 'там'), ('там', 'знижка')]","[('обожнювати', 'ходити', 'по'), ('ходити', 'по', 'магазин'), ('по', 'магазин', 'особливо'), ('магазин', 'особливо', 'коли'), ('особливо', 'коли', 'там'), ('коли', 'там', 'знижка')]"
16,16,16,2616,"Звичайно, я буду пити цей гіркий чай. Адже що таке смак порівняно з корисними властивостями?",gemini,zeroshot,"звичайно, я буду пити цей гіркий чай. адже що таке смак порівняно з корисними властивостями?","['звичайно', 'я', 'буду', 'пити', 'цей', 'гіркий', 'чай', 'адже', 'що', 'таке', 'смак', 'порівняно', 'з', 'корисними', 'властивостями']",15,1,"['звичайно', 'я', 'бути', 'пити', 'цей', 'гіркий', 'чай', 'адже', 'що', 'такий', 'смак', 'порівняно', 'з', 'корисний', 'властивість']",[],"[('звичайно', 'я'), ('я', 'бути'), ('бути', 'пити'), ('пити', 'цей'), ('цей', 'гіркий'), ('гіркий', 'чай'), ('чай', 'адже'), ('адже', 'що'), ('що', 'такий'), ('такий', 'смак'), ('смак', 'порівняно'), ('порівняно', 'з'), ('з', 'корисний'), ('корисний', 'властивість')]","[('звичайно', 'я', 'бути'), ('я', 'бути', 'пити'), ('бути', 'пити', 'цей'), ('пити', 'цей', 'гіркий'), ('цей', 'гіркий', 'чай'), ('гіркий', 'чай', 'адже'), ('чай', 'адже', 'що'), ('адже', 'що', 'такий'), ('що', 'такий', 'смак'), ('такий', 'смак', 'порівняно'), ('смак', 'порівняно', 'з'), ('порівняно', 'з', 'корисний'), ('з', 'корисний', 'властивість')]"
17,17,17,1983,"Неймовірно, як швидко летить час, коли стоїш у заторі.",gemini,zeroshot,"неймовірно, як швидко летить час, коли стоїш у заторі.","['неймовірно', 'як', 'швидко', 'летить', 'час', 'коли', 'стоїш', 'у', 'заторі']",9,1,"['неймовірно', 'як', 'швидко', 'летіти', 'час', 'коли', 'стояти', 'у', 'затора']",[],"[('неймовірно', 'як'), ('як', 'швидко'), ('швидко', 'летіти'), ('летіти', 'час'), ('час', 'коли'), ('коли', 'стояти'), ('стояти', 'у'), ('у', 'затора')]","[('неймовірно', 'як', 'швидко'), ('як', 'швидко', 'летіти'), ('швидко', 'летіти', 'час'), ('летіти', 'час', 'коли'), ('час', 'коли', 'стояти'), ('коли', 'стояти', 'у'), ('стояти', 'у', 'затора')]"
18,18,18,2441,"Так, я впевнений у своїх знаннях. Навіть Google не знає стільки, скільки я не знаю.",gemini,zeroshot,"так, я впевнений у своїх знаннях. навіть  не знає стільки, скільки я не знаю.","['так', 'я', 'впевнений', 'у', 'своїх', 'знаннях', 'навіть', 'не', 'знає', 'стільки', 'скільки', 'я', 'не', 'знаю']",14,1,"['так', 'я', 'впевнений', 'у', 'свій', 'знання', 'навіть', 'не', 'знати', 'стільки', 'скільки', 'я', 'не', 'знати']",[],"[('так', 'я'), ('я', 'впевнений'), ('впевнений', 'у'), ('у', 'свій'), ('свій', 'знання'), ('знання', 'навіть'), ('навіть', 'не'), ('не', 'знати'), ('знати', 'стільки'), ('стільки', 'скільки'), ('скільки', 'я'), ('я', 'не'), ('не', 'знати')]","[('так', 'я', 'впевнений'), ('я', 'впевнений', 'у'), ('впевнений', 'у', 'свій'), ('у', 'свій', 'знання'), ('свій', 'знання', 'навіть'), ('знання', 'навіть', 'не'), ('навіть', 'не', 'знати'), ('не', 'знати', 'стільки'), ('знати', 'стільки', 'скільки'), ('стільки', 'скільки', 'я'), ('скільки', 'я', 'не'), ('я', 'не', 'знати')]"
19,19,19,2294,"Як чудово, що існує бюрократія. Без неї життя було б надто простим та нудним.",gemini,zeroshot,"як чудово, що існує бюрократія. без неї життя було б надто простим та нудним.","['як', 'чудово', 'що', 'існує', 'бюрократія', 'без', 'неї', 'життя', 'було', 'б', 'надто', 'простим', 'та', 'нудним']",14,1,"['як', 'чудово', 'що', 'існувати', 'бюрократія', 'без', 'вона', 'життя', 'бути', 'б', 'надто', 'простий', 'та', 'нудний']",[],"[('як', 'чудово'), ('чудово', 'що'), ('що', 'існувати'), ('існувати', 'бюрократія'), ('бюрократія', 'без'), ('без', 'вона'), ('вона', 'життя'), ('життя', 'бути'), ('бути', 'б'), ('б', 'надто'), ('надто', 'простий'), ('простий', 'та'), ('та', 'нудний')]","[('як', 'чудово', 'що'), ('чудово', 'що', 'існувати'), ('що', 'існувати', 'бюрократія'), ('існувати', 'бюрократія', 'без'), ('бюрократія', 'без', 'вона'), ('без', 'вона', 'життя'), ('вона', 'життя', 'бути'), ('життя', 'бути', 'б'), ('бути', 'б', 'надто'), ('б', 'надто', 'простий'), ('надто', 'простий', 'та'), ('простий', 'та', 'нудний')]"
20,20,20,2660,"Обожнюю, коли мій телефон розряджається в самий невідповідний момент.",gemini,zeroshot,"обожнюю, коли мій телефон розряджається в самий невідповідний момент.","['обожнюю', 'коли', 'мій', 'телефон', 'розряджається', 'в', 'самий', 'невідповідний', 'момент']",9,1,"['обожнювати', 'коли', 'мій', 'телефон', 'розряджатися', 'в', 'самий', 'невідповідний', 'момент']",[],"[('обожнювати', 'коли'), ('коли', 'мій'), ('мій', 'телефон'), ('телефон', 'розряджатися'), ('розряджатися', 'в'), ('в', 'самий'), ('самий', 'невідповідний'), ('невідповідний', 'момент')]","[('обожнювати', 'коли', 'мій'), ('коли', 'мій', 'телефон'), ('мій', 'телефон', 'розряджатися'), ('телефон', 'розряджатися', 'в'), ('розряджатися', 'в', 'самий'), ('в', 'самий', 'невідповідний'), ('самий', 'невідповідний', 'момент')]"
21,21,21,2924,"Я просто обожнюю, коли мій комп'ютер зависає саме в той момент, коли я майже закінчив важливу роботу.",gemini,zeroshot,"я просто обожнюю, коли мій комп'ютер зависає саме в той момент, коли я майже закінчив важливу роботу.","['я', 'просто', 'обожнюю', 'коли', 'мій', ""комп'ютер"", 'зависає', 'саме', 'в', 'той', 'момент', 'коли', 'я', 'майже', 'закінчив', 'важливу', 'роботу']",17,1,"['я', 'просто', 'обожнювати', 'коли', 'мій', 'комп’ютер', 'зависати', 'саме', 'в', 'той', 'момент', 'коли', 'я', 'майже', 'закінчити', 'важливий', 'робота']",[],"[('я', 'просто'), ('просто', 'обожнювати'), ('обожнювати', 'коли'), ('коли', 'мій'), ('мій', 'комп’ютер'), ('комп’ютер', 'зависати'), ('зависати', 'саме'), ('саме', 'в'), ('в', 'той'), ('той', 'момент'), ('момент', 'коли'), ('коли', 'я'), ('я', 'майже'), ('майже', 'закінчити'), ('закінчити', 'важливий'), ('важливий', 'робота')]","[('я', 'просто', 'обожнювати'), ('просто', 'обожнювати', 'коли'), ('обожнювати', 'коли', 'мій'), ('коли', 'мій', 'комп’ютер'), ('мій', 'комп’ютер', 'зависати'), ('комп’ютер', 'зависати', 'саме'), ('зависати', 'саме', 'в'), ('саме', 'в', 'той'), ('в', 'той', 'момент'), ('той', 'момент', 'коли'), ('момент', 'коли', 'я'), ('коли', 'я', 'майже'), ('я', 'майже', 'закінчити'), ('майже', 'закінчити', 'важливий'), ('закінчити', 'важливий', 'робота')]"
22,22,22,2100,"Звісно, я завжди дивлюся рекламу. Це ж так інформативно.",gemini,zeroshot,"звісно, я завжди дивлюся рекламу. це ж так інформативно.","['звісно', 'я', 'завжди', 'дивлюся', 'рекламу', 'це', 'ж', 'так', 'інформативно']",9,1,"['звісно', 'я', 'завжди', 'дивитися', 'реклама', 'це', 'ж', 'так', 'інформативно']",[],"[('звісно', 'я'), ('я', 'завжди'), ('завжди', 'дивитися'), ('дивитися', 'реклама'), ('реклама', 'це'), ('це', 'ж'), ('ж', 'так'), ('так', 'інформативно')]","[('звісно', 'я', 'завжди'), ('я', 'завжди', 'дивитися'), ('завжди', 'дивитися', 'реклама'), ('дивитися', 'реклама', 'це'), ('реклама', 'це', 'ж'), ('це', 'ж', 'так'), ('ж', 'так', 'інформативно')]"
23,23,23,2884,"Я просто щаслива, що ти не прибираєш за своїм собакою на вулиці. Хай всі знають, який ти відповідальний господар.",gemini,zeroshot,"я просто щаслива, що ти не прибираєш за своїм собакою на вулиці. хай всі знають, який ти відповідальний господар.","['я', 'просто', 'щаслива', 'що', 'ти', 'не', 'прибираєш', 'за', 'своїм', 'собакою', 'на', 'вулиці', 'хай', 'всі', 'знають', 'який', 'ти', 'відповідальний', 'господар']",19,1,"['я', 'просто', 'щасливий', 'що', 'ти', 'не', 'прибирати', 'за', 'свій', 'собака', 'на', 'вулиця', 'хай', 'весь', 'знати', 'який', 'ти', 'відповідальний', 'господар']",[],"[('я', 'просто'), ('просто', 'щасливий'), ('щасливий', 'що'), ('що', 'ти'), ('ти', 'не'), ('не', 'прибирати'), ('прибирати', 'за'), ('за', 'свій'), ('свій', 'собака'), ('собака', 'на'), ('на', 'вулиця'), ('вулиця', 'хай'), ('хай', 'весь'), ('весь', 'знати'), ('знати', 'який'), ('який', 'ти'), ('ти', 'відповідальний'), ('відповідальний', 'господар')]","[('я', 'просто', 'щасливий'), ('просто', 'щасливий', 'що'), ('щасливий', 'що', 'ти'), ('що', 'ти', 'не'), ('ти', 'не', 'прибирати'), ('не', 'прибирати', 'за'), ('прибирати', 'за', 'свій'), ('за', 'свій', 'собака'), ('свій', 'собака', 'на'), ('собака', 'на', 'вулиця'), ('на', 'вулиця', 'хай'), ('вулиця', 'хай', 'весь'), ('хай', 'весь', 'знати'), ('весь', 'знати', 'який'), ('знати', 'який', 'ти'), ('який', 'ти', 'відповідальний'), ('ти', 'відповідальний', 'господар')]"
24,24,24,2264,"Звичайно, цей політик завжди говорить правду. Він же політик.",gemini,zeroshot,"звичайно, цей політик завжди говорить правду. він же політик.","['звичайно', 'цей', 'політик', 'завжди', 'говорить', 'правду', 'він', 'же', 'політик']",9,1,"['звичайно', 'цей', 'політик', 'завжди', 'говорити', 'правда', 'він', 'же', 'політик']",[],"[('звичайно', 'цей'), ('цей', 'політик'), ('політик', 'завжди'), ('завжди', 'говорити'), ('говорити', 'правда'), ('правда', 'він'), ('він', 'же'), ('же', 'політик')]","[('звичайно', 'цей', 'політик'), ('цей', 'політик', 'завжди'), ('політик', 'завжди', 'говорити'), ('завжди', 'говорити', 'правда'), ('говорити', 'правда', 'він'), ('правда', 'він', 'же'), ('він', 'же', 'політик')]"
25,25,25,2331,"Я просто в захваті від черг! Особливо коли стою в них годину, щоб купити каву.",gemini,zeroshot,"я просто в захваті від черг! особливо коли стою в них годину, щоб купити каву.","['я', 'просто', 'в', 'захваті', 'від', 'черг', 'особливо', 'коли', 'стою', 'в', 'них', 'годину', 'щоб', 'купити', 'каву']",15,1,"['я', 'просто', 'в', 'захват', 'від', 'черг', 'особливо', 'коли', 'стояти', 'в', 'вони', 'година', 'щоб', 'купити', 'кава']",[],"[('я', 'просто'), ('просто', 'в'), ('в', 'захват'), ('захват', 'від'), ('від', 'черг'), ('черг', 'особливо'), ('особливо', 'коли'), ('коли', 'стояти'), ('стояти', 'в'), ('в', 'вони'), ('вони', 'година'), ('година', 'щоб'), ('щоб', 'купити'), ('купити', 'кава')]","[('я', 'просто', 'в'), ('просто', 'в', 'захват'), ('в', 'захват', 'від'), ('захват', 'від', 'черг'), ('від', 'черг', 'особливо'), ('черг', 'особливо', 'коли'), ('особливо', 'коли', 'стояти'), ('коли', 'стояти', 'в'), ('стояти', 'в', 'вони'), ('в', 'вони', 'година'), ('вони', 'година', 'щоб'), ('година', 'щоб', 'купити'), ('щоб', 'купити', 'кава')]"
